Anchor_X,Anchor_Y,Anchor_Z,Measured_Distance_Sensor,Measured_RSSI,Wheelchair_Actual_X,Wheelchair_Actual_Y,Wheelchair_Actual_Z
5.0,5.0,1.0,4.860677237317157,-75.27396492336044,8.815642416974729,8.039087638132305,1.18894783372625
5.0,5.0,1.0,2.3275221789727456,-55.038944789971346,3.9272741315172546,7.080311038721723,0.7972880960222346
5.0,5.0,1.0,4.8538412182876245,-74.29213916056213,9.021884978213823,7.519469284152138,0.9649585476483
5.0,5.0,1.0,5.202849427735369,-74.10808131136652,1.5137283899296416,8.707839540465189,0.992711550486844
5.0,5.0,1.0,4.242256270593315,-75.10262308269711,2.2831145126283325,8.21698420164331,1.003152634653535
5.0,5.0,1.0,3.8471039220723515,-67.85023492109087,1.8396005168026752,2.6882499634898593,1.2755660473576573
5.0,5.0,1.0,4.064076882115697,-61.59992045123562,1.0027730695645554,6.04076571899109,0.5782641940429817
5.0,5.0,1.0,2.5711434749137334,-57.38937884660956,4.354848142504184,7.444966546249986,1.1270163416598775
5.0,5.0,1.0,2.3042883081962477,-60.121526923388544,5.88058717776345,2.8725646833967344,1.2536695337188313
5.0,5.0,1.0,4.835604798393243,-59.59531159556818,6.861752616416526,9.442133245342232,1.1747064154780884
5.0,5.0,1.0,3.3841438330489444,-68.65929735172072,1.8342393886746633,4.464147379164637,1.0751325533429061
5.0,5.0,1.0,3.1140078888957317,-74.91323436034853,3.0009889159605017,2.4316864114044536,0.6116861188445669
5.0,5.0,1.0,3.143839788645811,-61.41760146732198,1.9653374195085294,3.9574087057231,1.0329810641267572
5.0,5.0,1.0,4.1730326030320155,-63.3958958432924,1.8438772278506899,7.737320573211219,0.9879093290529806
5.0,5.0,1.0,4.547876177989879,-66.64036760063699,0.8005172512646008,3.4574123160375136,1.1216095264358326
5.0,5.0,1.0,5.037813073267736,-78.55123607129656,9.948224261779847,5.070086428736236,0.5535454779270914
5.0,5.0,1.0,4.69160978695366,-62.599170231295915,0.7216258396626007,2.881637058920312,1.2517131442741158
5.0,5.0,1.0,3.1779739493444787,-67.65484421395655,2.3908275271531174,3.0210967959261694,0.577608760613392
5.0,5.0,1.0,3.897030917068334,-68.02301697139211,8.844737532503322,4.254112612648589,1.3772115597413126
5.0,5.0,1.0,3.7771679701306136,-67.45338969962671,6.443567396159418,1.3207907333711855,0.974864540125818
5.0,5.0,1.0,3.1619064893209385,-68.42264691203479,7.928200805056628,4.105953602484377,0.8002024733566576
5.0,5.0,1.0,3.5883477655922142,-70.3652504175805,2.8810858952598952,2.1904092418071066,0.6563955769265473
5.0,5.0,1.0,4.3591110911760484,-72.1877681740311,8.442022529766064,7.674943995570079,0.5728382795315176
5.0,5.0,1.0,4.178076395204198,-66.78282959326397,4.49131452721907,9.065767564440105,1.1086946102495476
5.0,5.0,1.0,3.8327725879239427,-65.29899123172189,5.333279401334802,1.1914097597169127,1.4805893279684632
5.0,5.0,1.0,0.9121142829683464,-55.444701547883234,4.422338303762075,5.68175254144305,1.0636701955645214
5.0,5.0,1.0,4.574251060690697,-78.48420098436195,9.440402383758084,4.661735951922185,1.1345027895172795
5.0,5.0,1.0,2.8008934272369386,-72.80144060382932,3.440664923609434,7.298731817210867,0.8848138529214549
5.0,5.0,1.0,6.455165993292476,-77.10705267346722,0.8131481972253118,0.2626401106148857,1.3436804571338217
5.0,5.0,1.0,1.9582912873305798,-44.132573170490836,6.722104615854505,5.535158336886822,1.3108932083149036
5.0,5.0,1.0,5.085274394206782,-76.97782817705423,7.756225921794714,9.231596552085076,1.1010858859378394
5.0,5.0,1.0,5.036426211454196,-72.23928038349032,7.524730524063376,9.57754216889416,0.553440793853655
5.0,5.0,1.0,4.886573742330411,-64.93534306279912,4.470419976402558,9.728107683194944,0.833824395538841
5.0,5.0,1.0,6.183760297840325,-79.38371856320731,9.59789215046105,9.030544220195665,1.3784654801419052
5.0,5.0,1.0,6.548209489178638,-83.68701053583627,9.64448554712658,9.972582935221597,1.3272264497713917
5.0,5.0,1.0,1.7953509595900061,-64.67677685777663,3.420180507519465,6.152764674477156,0.9188482545392184
5.0,5.0,1.0,1.0306376135231012,-47.839905102867924,5.584798451366419,5.626357558371553,0.6188694711663331
5.0,5.0,1.0,2.737143166057015,-64.31043054911898,4.392187200598126,7.644905461463555,1.1501130259332397
5.0,5.0,1.0,3.8315224213766914,-68.08287319956943,7.395054443922541,8.155918123778923,0.8705088453430169
5.0,5.0,1.0,2.3843673237490646,-51.278089686014,2.718004758788213,5.873925404950919,0.8398253583860297
5.0,5.0,1.0,5.264532289737807,-67.96239509780972,7.981215395620835,9.352356721728071,0.9644026030414158
5.0,5.0,1.0,4.8502534800570425,-68.47039985949564,9.787735541809486,4.414335198954582,0.5179152814358777
5.0,5.0,1.0,1.6339679022681475,-55.385619826282266,4.93522750331462,6.650839546238858,0.5265193206799736
5.0,5.0,1.0,4.628519951100191,-74.87140118586154,9.138029412807184,2.9854664815921526,0.5549454333340759
5.0,5.0,1.0,4.466311280920724,-85.74064993216086,8.461394611577049,2.1209277092529177,0.8312605704495044
5.0,5.0,1.0,2.062448009027481,-59.45369001216047,6.683443241331631,3.879398548802835,1.0348644289268663
5.0,5.0,1.0,3.5171914923553684,-64.670439468766,4.456963495538436,1.604102057960416,1.3371239258882854
5.0,5.0,1.0,5.112287575113756,-62.53108533845998,0.7059594578542927,2.066400496243511,1.1747353922862427
5.0,5.0,1.0,4.8513892947643065,-74.07920551160994,2.327191705034836,9.017385234971202,1.4551015204264126
5.0,5.0,1.0,1.7694567609431504,-52.49379736194998,6.8914615450427075,4.878341869291775,0.9158626407327798
5.0,5.0,1.0,1.4150411847959303,-48.5222380934348,4.829312097452608,3.67110220686913,1.4994182850466795
5.0,5.0,1.0,3.8963268884671627,-67.64566462483866,7.677970928514471,7.901222903259634,0.5250967417070982
5.0,5.0,1.0,3.8414186390077028,-68.34586284054723,8.151495556949005,7.00568943553079,1.4132765450687572
5.0,5.0,1.0,6.532086262732094,-78.23146219273265,0.45961837500370417,0.33894033235874255,0.6891629703186118
5.0,5.0,1.0,4.383365036077986,-66.24102535163013,6.037677161807318,9.358904291856593,0.8988842869130006
5.0,5.0,1.0,2.025040266739042,-59.38798287474932,6.770577045337664,3.967322166131868,1.0808182487153557
5.0,5.0,1.0,3.199037175326975,-70.42796166251765,8.199300823394921,5.0319976731522615,1.1870575416279263
5.0,5.0,1.0,4.199125221608351,-61.57959442882751,3.910106211295722,9.016941963091137,0.5718327093292098
5.0,5.0,1.0,1.8880832751731678,-71.3335151972017,4.697651889878411,6.950584895581501,0.8623149651233947
5.0,5.0,1.0,2.102883501260759,-67.76344231974639,3.722568975764422,3.5442170206949752,1.4972497101490707
5.0,5.0,1.0,1.1722398627667434,-48.66556430271362,5.648797028428212,4.093915575662548,1.2601836365001466
5.0,5.0,1.0,5.0654270374691,-60.05850344468447,3.246079544387279,0.41998728142649044,0.5397931229696311
5.0,5.0,1.0,3.724594962315475,-63.85057215032154,8.66910402115013,4.329157800670474,1.2933357155786775
5.0,5.0,1.0,3.28295050370763,-67.85185598708007,7.711996155387774,6.72412206190581,1.1539033312424634
5.0,5.0,1.0,4.616404052186141,-80.5324369630029,4.065550176073306,0.6016917047487769,0.7597019759985533
5.0,5.0,1.0,4.52306410120705,-71.43746123693066,5.420430738024069,9.339026724101998,0.5355922953537117
5.0,5.0,1.0,5.225757002144826,-75.70459751567572,0.32343069865432783,3.2058532850425303,0.560809988966565
5.0,5.0,1.0,6.608080996904482,-76.483355828383,9.64392317911859,9.844967169578274,0.6258251031122436
5.0,5.0,1.0,5.479320049713185,-73.3147860482711,1.997594934196859,9.649436530049481,0.5219371395662538
5.0,5.0,1.0,6.927494446524467,-78.48926961177106,0.015072486926609452,9.702948680400912,1.039963083553196
5.0,5.0,1.0,5.637660859771817,-81.11888094718483,8.984952357387156,1.2017397439244726,0.8906185120493598
5.0,5.0,1.0,1.3505978724101384,-44.79375131594525,5.635708423367304,6.189855402563841,0.805306775871308
5.0,5.0,1.0,3.90698264189711,-66.41981109077581,7.920036818426278,7.381044960227257,1.0850517310773338
5.0,5.0,1.0,6.122147383093724,-66.78999859700701,9.6593681346213,9.035802971558754,1.0553707768995844
5.0,5.0,1.0,5.200954996559429,-67.09237572274544,0.10238687718924333,3.267715682807003,0.9179579277434351
5.0,5.0,1.0,2.8879560224654353,-55.58026696221953,2.330443280011859,3.9208321194225793,0.5279441062321417
5.0,5.0,1.0,5.564682138342739,-64.45747283324602,0.7490809846273394,1.336014535086918,1.0050013978525172
5.0,5.0,1.0,0.9344411538529107,-54.09679101582923,4.525371268393492,4.166016683269783,0.88091397047091
5.0,5.0,1.0,4.871772027973144,-67.0914383088241,6.925111198437004,0.6745887165286335,0.7726489428003891
5.0,5.0,1.0,3.66276226062469,-66.05844105577371,2.193974708727727,7.30325068845683,1.4991156570270108
5.0,5.0,1.0,2.7477628557208424,-66.40515534548472,6.091508488188854,2.4733979347051607,0.718182191443373
5.0,5.0,1.0,2.6974151831158104,-72.31878722893174,6.82517759439797,3.2686506308085814,1.0534112665547537
5.0,5.0,1.0,5.0087553305476655,-70.74726267314365,7.795202098996066,0.9345085643354933,1.082213548457866
5.0,5.0,1.0,5.739300544666616,-81.55540558475467,9.959781421272606,8.065265082079181,1.3582947799742116
5.0,5.0,1.0,1.4918185516776792,-60.26445180604985,3.4414565696628188,4.925973791086306,0.9430039571272308
5.0,5.0,1.0,3.626425653984831,-65.40431329796694,8.340638886165694,6.696383454717589,0.8797180118393769
5.0,5.0,1.0,1.6031100696883052,-55.6287733047852,6.45573817719287,4.1306774040090355,1.1875552762026111
5.0,5.0,1.0,4.098099350310442,-69.66155244322947,9.056399772394721,3.6899931435755864,0.5464082285023178
5.0,5.0,1.0,4.0727900279664855,-60.66705306268972,6.604795056313028,8.544647970011173,1.0919358823634586
5.0,5.0,1.0,5.344368102373646,-78.5583328184683,8.482749416685726,0.8699956648857377,0.8301486016382261
5.0,5.0,1.0,2.7658267929387557,-63.009062438750234,6.169766041577564,7.3481486838622345,0.7264377516369646
5.0,5.0,1.0,4.510473133390003,-60.61607396692853,4.242063658749401,0.5876164718976606,1.0527260809236951
5.0,5.0,1.0,4.632092579632766,-71.78992215682986,9.116541417330358,3.186156129811668,1.0567866413495035
5.0,5.0,1.0,3.15251656347221,-55.15053575877064,6.511261240839316,7.783645815046322,1.1039307445822173
5.0,5.0,1.0,5.620980293557702,-74.63719447458722,1.4845068213201784,9.216922930148414,0.7746433220220666
5.0,5.0,1.0,4.3529415965173035,-69.9918299530029,6.15794454917881,9.302021342907516,0.8451181569284476
5.0,5.0,1.0,4.307160052278856,-79.39756793045531,2.2176053362573214,8.505972324733467,0.7411949527228014
5.0,5.0,1.0,4.596645665895995,-61.50420527572805,6.083836021094443,9.539931142244127,0.5348710045683793
5.0,5.0,1.0,3.2062661818083216,-59.44775057691289,3.3467354156518523,2.262883098493358,0.6768202468866592
5.0,5.0,1.0,3.6434817483323902,-68.53704714868884,2.6579616556274646,2.0104068129670782,1.0328494359569909
5.0,5.0,1.0,4.858950065855154,-73.771714691235,0.6801302120350683,6.787423715391795,0.5392162465425095
5.0,5.0,1.0,3.322395971920479,-72.0546439480105,6.739663394242436,7.838244713958826,0.8617545719791987
5.0,5.0,1.0,2.7624726141263154,-61.83606140068507,2.820703921349361,3.385255059900363,1.0348904662379996
5.0,5.0,1.0,5.140649730749731,-62.92913692609966,3.141225977182769,0.3131414085313611,0.7878962161144202
5.0,5.0,1.0,1.8898338490983249,-62.07730903452787,5.341356684101805,6.908150996308695,1.0794602213679796
5.0,5.0,1.0,4.06444939824909,-72.05425081160963,6.26094421223512,0.9966793793880724,0.7463528501553767
5.0,5.0,1.0,4.6359527225139505,-74.68080317106133,8.496389429724777,7.680561131189345,0.6176433605467132
5.0,5.0,1.0,1.4593172329842428,-52.612215851540576,4.376752771175374,3.7044866886250327,1.3394986061165288
5.0,5.0,1.0,4.766689840636951,-62.384475787244945,0.27175696235215874,5.789514693742678,0.9473361645535696
5.0,5.0,1.0,4.185680681291707,-78.36476793070806,7.2410061505888645,8.311259141017604,0.5810864723316618
5.0,5.0,1.0,4.069086641127844,-73.05367153478171,2.6959473508384626,8.430526817446557,1.4424179108022162
5.0,5.0,1.0,2.5582580293157267,-77.90253467485232,4.077870850681414,7.2194435772959835,1.1592608600892271
5.0,5.0,1.0,4.481448599109338,-66.64902818037918,8.41342193284818,8.085964221680971,0.7536288034873113
5.0,5.0,1.0,5.576617061526245,-68.24093478094572,9.395333475451933,1.6024733141519754,1.2234226216874902
5.0,5.0,1.0,2.7007823975116607,-58.44665650047424,5.520857676446905,2.4523862078623706,0.662034907811194
5.0,5.0,1.0,4.904392794136047,-58.22362960718095,8.722605159895245,8.067591457484681,0.8105371395639526
5.0,5.0,1.0,6.126101404506957,-73.45412851041281,9.810456803116722,1.0377764017277358,0.8024166845410938
5.0,5.0,1.0,1.3173808184616997,-39.46843648218678,5.684280963317827,6.18369057427318,1.0613860696213697
5.0,5.0,1.0,2.272415717230063,-49.43638777781348,6.578623532543824,6.351683377335625,0.7255657273016636
5.0,5.0,1.0,6.446845200151227,-65.450247073936,0.6399545694212039,0.2736463327461902,1.0551298954351056
5.0,5.0,1.0,2.769311045058292,-68.05947223382003,2.1697285834308486,4.664482380366412,1.032891977315578
5.0,5.0,1.0,6.351639497804869,-77.02842644556523,9.687668372703694,9.010454743877231,1.113578875009889
5.0,5.0,1.0,4.943308480070807,-66.3567222901298,1.3042591305075035,8.374017300841881,1.1795831804807024
5.0,5.0,1.0,6.314391971735934,-75.04880970839532,0.5486567389081765,9.45072941741526,1.1439994461846703
5.0,5.0,1.0,4.968048439112782,-68.21031920188078,9.92188033839668,3.8327973984405492,1.1461591744572062
5.0,5.0,1.0,3.5013413142844163,-63.941367456141926,8.566312146768663,4.985964827980153,1.4454879591755962
5.0,5.0,1.0,5.352912480573387,-65.1388713453853,1.4986501631996396,1.0575053362539033,1.2355870409337242
5.0,5.0,1.0,2.448304255465373,-68.95104874027803,7.421597222053773,5.171993222123493,1.4025981424257106
